RCB n!
bridgeness 3^{n/3}
closedWalkNumber n^2\log(n)
compensatedTotalGeographicalGraphDiversity n^6
connectivityRobustnessFunction n
coveringDegree 3^{n/3}
coveringIndex 3^{n/3}
criticality n^3
definition523 nm
degreeEntropy n
deltaEfficiency n^3
dynamicFragility 
edgeResilience n^2
effectiveGeographicalPathDiversity n^4
effectiveGraphResistance n^3
electricalNodalRobustness n^3
entropy variable
entropyRank n^3
fragility n^3
fragmentation n
freeEnergyRank n^3
functionality auxiliary
functionalityLoss auxiliary
generalizedRobustnessIndex n^3
geographicalDiversity n^6
globalConnectivity auxiliary
globalFunctionalityLoss n^4
hubDensity nm
kEdgeFailureResilience n^2
kResilienceFactor 2^n
kVertexFailureResilience 2^n
localConnectivity auxiliary
localNaturalConnectivity auxiliary
naturalConnectivity n^3
networkCriticality n^3
normalizedGCC n+m
normalizedLocalNaturalConnectivity n^3
normalizedSubgraphCentrality n^3
pairwiseDisconnectivityIndex n^3
pathDiversity auxiliary 
percolatedPath auxiliary
percolationCentrality n^3
perturbationScore n
randomRobustnessIndex n^2
randomWalkBetweenness mn^{3/2}\log(n)
reconstructabilityCoefficient n^3
redundancyOfAlternativePaths n^2\log(n)
relativeAreaIndex mn^2
relativeEntropy n
resilienceFactor 2^n
robustnessIndex n(n+m)
robustnessMeasure53 n^2
robustnessMeasureR n(n+m)
selfSufficiency auxiliary
sensitivity variable
splittingNumber variable
subgraphCentrality auxiliary
temporalEfficiency n^3
totalGraphGeographicalDiversity n^4
treeness n+m
vertexLoad n^2
vertexResilience n^2
viralConductance n^3
vulnerability n^3
